,user_id,group,decision_rank,decision,left_age,right_age,left_dependents,right_dependents,left_drinking,right_drinking
400,23,cf,13,0,1,1,1,2,0,0
401,26,cf,13,2,1,1,1,2,0,0
402,23,cf,14,0,1,1,2,2,1,2
403,26,cf,14,0,1,1,2,2,1,2
404,24,cf,9,2,1,1,1,2,1,2
405,22,cf,12,0,1,2,2,0,0,0
406,25,cf,6,1,1,1,0,0,2,0
407,24,cf,10,2,1,1,1,2,2,2
408,26,cf,6,1,1,1,0,0,2,0
409,27,nocf,4,1,4,1,0,0,0,2
410,28,cf,4,1,4,1,0,0,0,2
411,24,cf,11,2,2,0,2,0,2,0
412,22,cf,13,2,1,1,1,2,0,0
413,24,cf,13,2,1,1,1,2,0,0
414,27,nocf,6,1,1,1,0,0,2,0
415,24,cf,14,2,1,1,2,2,1,2
416,23,cf,8,0,1,1,0,0,2,0
417,25,cf,8,2,1,1,0,0,2,0
418,22,cf,15,2,1,0,2,0,0,0
419,28,cf,5,1,2,1,0,0,2,2
420,27,nocf,7,1,2,2,0,2,2,2
421,24,cf,15,2,1,0,2,0,0,0
422,29,nocf,2,0,0,2,0,0,0,0
423,26,cf,8,0,1,1,0,0,2,0
424,28,cf,6,1,1,1,0,0,2,0
425,29,nocf,3,0,1,1,0,0,0,1
426,26,cf,9,0,1,1,1,2,1,2
427,27,nocf,10,1,1,1,1,2,2,2
428,29,nocf,4,1,4,1,0,0,0,2
429,27,nocf,11,0,2,0,2,0,2,0
430,30,cf,2,0,0,2,0,0,0,0
431,27,nocf,12,0,1,2,2,0,0,0
432,23,cf,10,0,1,1,1,2,2,2
433,27,nocf,13,1,1,1,1,2,0,0
434,28,cf,8,2,1,1,0,0,2,0
435,27,nocf,14,0,1,1,2,2,1,2
436,25,cf,12,0,1,2,2,0,0,0
437,23,cf,11,0,2,0,2,0,2,0
438,29,nocf,7,1,2,2,0,2,2,2
439,25,cf,13,1,1,1,1,2,0,0
440,23,cf,12,0,1,2,2,0,0,0
441,25,cf,14,0,1,1,2,2,1,2
442,28,cf,9,2,1,1,1,2,1,2
443,26,cf,12,0,1,2,2,0,0,0
444,30,cf,5,1,2,1,0,0,2,2
445,31,nocf,3,0,1,1,0,0,0,1
446,29,nocf,9,1,1,1,1,2,1,2
447,32,cf,3,0,1,1,0,0,0,1
448,28,cf,11,1,2,0,2,0,2,0
449,30,cf,6,1,1,1,0,0,2,0
450,32,cf,4,1,4,1,0,0,0,2
451,29,nocf,10,1,1,1,1,2,2,2
452,33,cf,1,0,0,1,0,0,0,0
453,31,nocf,4,1,4,1,0,0,0,2
454,32,cf,6,1,1,1,0,0,2,0
455,28,cf,13,2,1,1,1,2,0,0
456,33,cf,2,0,0,2,0,0,0,0
457,28,cf,14,2,1,1,2,2,1,2
458,31,nocf,6,1,1,1,0,0,2,0
459,32,cf,9,0,1,1,1,2,1,2
460,31,nocf,7,1,2,2,0,2,2,2
461,32,cf,10,1,1,1,1,2,2,2
462,34,cf,2,0,0,2,0,0,0,0
463,35,cf,1,0,0,1,0,0,0,0
464,36,cf,1,0,0,1,0,0,0,0
465,34,cf,3,0,1,1,0,0,0,1
466,32,cf,12,0,1,2,2,0,0,0
467,30,cf,11,1,2,0,2,0,2,0
468,33,cf,4,1,4,1,0,0,0,2
469,30,cf,12,0,1,2,2,0,0,0
470,36,cf,5,2,2,1,0,0,2,2
471,32,cf,15,1,1,0,2,0,0,0
472,35,cf,4,1,4,1,0,0,0,2
473,33,cf,5,1,2,1,0,0,2,2
474,28,cf,12,0,1,2,2,0,0,0
475,23,cf,15,0,1,0,2,0,0,0
476,32,cf,5,1,2,1,0,0,2,2
477,30,cf,7,1,2,2,0,2,2,2
478,26,cf,15,2,1,0,2,0,0,0
